,date,obs,pred
414,17/02/2001,0.2255,0.202319021
415,18/02/2001,0.2228,0.198090806
416,19/02/2001,0.2228,0.193995213
417,20/02/2001,0.2209,0.190027457
418,21/02/2001,0.2158,0.186183084
419,22/02/2001,0.21,0.182457685
420,23/02/2001,0.2065,0.178846896
421,24/02/2001,0.2016,0.175347475
422,25/02/2001,0.1966,0.171958463
423,26/02/2001,0.1931,0.168678597
424,27/02/2001,0.1872,0.165498352
425,28/02/2001,0.1853,0.162416574
426,1/03/2001,0.1852,0.163597311
427,2/03/2001,0.1988,0.179556997
428,3/03/2001,0.2598,0.211217788
429,4/03/2001,0.2662,0.216866505
430,5/03/2001,0.2718,0.199606698
431,6/03/2001,0.2522,0.184374744
432,7/03/2001,0.2452,0.178809815
433,8/03/2001,0.2276,0.174625009
434,9/03/2001,0.2151,0.170154937
435,10/03/2001,0.2048,0.166208897
436,11/03/2001,0.1962,0.162910638
437,12/03/2001,0.1901,0.171146372
438,13/03/2001,0.1866,0.216642852
439,14/03/2001,0.4811,0.307035949
440,15/03/2001,0.3786,0.344495482
441,16/03/2001,0.4499,0.372522179
442,17/03/2001,0.4034,0.337751348
443,18/03/2001,0.325,0.303945676
444,19/03/2001,0.3031,0.27843209
445,20/03/2001,0.2674,0.265422623
446,21/03/2001,0.2509,0.255884548
447,22/03/2001,0.2387,0.248115039
448,23/03/2001,0.228,0.240968679
449,24/03/2001,0.2197,0.234223122
450,25/03/2001,0.213,0.227835302
451,26/03/2001,0.21,0.221771978
452,27/03/2001,0.2098,0.21601822
453,28/03/2001,0.2081,0.210568824
454,29/03/2001,0.2043,0.205403132
455,30/03/2001,0.2036,0.213463094
456,31/03/2001,0.2161,0.273283372
457,1/04/2001,0.367,0.40583199
458,2/04/2001,0.4221,0.474327522
459,3/04/2001,0.4188,0.464551881
460,4/04/2001,0.5329,0.477871201
461,5/04/2001,0.3662,0.441100376
462,6/04/2001,0.3388,0.404698642
463,7/04/2001,0.2977,0.373156062
464,8/04/2001,0.2724,0.353574651
465,9/04/2001,0.256,0.338010127
466,10/04/2001,0.2451,0.324835515
467,11/04/2001,0.241,0.312833571
468,12/04/2001,0.2393,0.301710277
469,13/04/2001,0.2375,0.291372654
470,14/04/2001,0.235,0.281740924
471,15/04/2001,0.2293,0.272746501
472,16/04/2001,0.2255,0.273413188
473,17/04/2001,0.2386,0.304425608
474,18/04/2001,0.3658,0.362218789
475,19/04/2001,0.3898,0.352849428
476,20/04/2001,0.3298,0.32046071
477,21/04/2001,0.2961,0.300268039
478,22/04/2001,0.28,0.296439011
479,23/04/2001,0.2684,0.286351951
480,24/04/2001,0.2532,0.275029087
481,25/04/2001,0.248,0.26732985
482,26/04/2001,0.2572,0.263078135
483,27/04/2001,0.2717,0.255478806
484,28/04/2001,0.2572,0.247169076
485,29/04/2001,0.2457,0.239811833
486,30/04/2001,0.2362,0.233544071
487,1/05/2001,0.2322,0.227775834
